aacode	floorx	SAP_hhsizex
H0484114	87.81	2.594542031
H0484302	36.75	1.32289048
H0484305	47.27	1.610128883
H0484306	56.46	1.879991197
H0484313	40.79	1.427487918
H0484315	48.53	1.646919695
H0484408	65.37	2.128706574
H0484410	48.35	1.64164908
H0484411	56.48	1.880572881
H0484412	74.91	2.359203466
H0484414	41.57	1.448661928
H0484415	81.46	2.489979511
H0484418	56.14	1.870675046
H0491101	78.22	2.428219157
H0491107	76.78	2.398925516
H0491110	43.31	1.496824783
H0491114	69.73	2.239551981
H0491201	57.41	1.907540203
H0491203	47.22	1.608674439
H0491204	64.66	2.10987104
H0491301	68.34	2.205158329
H0491302	83.6	2.527628296
H0491307	93.46	2.670180622
H0491308	86.68	2.577496646
H0491403	56.12	1.870092225
H0491414	59.64	1.971437459
H0492102	92.75	2.661521355
H0492108	65.65	2.136077725
H0492306	56.93	1.893641948
H0492307	76.98	2.403061715
H0492311	83.32	2.52284344
H0492403	92.91	2.663493221
H0492409	76.87	2.4007895
