code, e1, e2, p1, p2, form, floor_area, level, extract, trickle, extract2, trickle2, fans, horizon, gor_ehs,fuelpov,buildyear,tenure,agehr,rebate
H0213408,761.4298018,761.4298018,7.950847939,7.950847939,Bungalow,9,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatD,OwnerOccupied,CatE,TRUE
H0222109,486.3618218,486.3618218,19.42908079,19.42908079,Detached,9,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatA,PrivateRented,CatB,TRUE
H0234109,325.5070384,325.5070384,6.217686448,6.217686448,Bungalow,9,4,TRUE,FALSE,TRUE,TRUE,5,1,3,TRUE,CatC,RSL,CatE,TRUE
H0242310,926.1899011,926.1899011,15.20877631,15.20877631,Detached,9,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatF,OwnerOccupied,CatE,TRUE
H0244103,592.1153522,592.1153522,13.37208427,13.37208427,Detached,9,4,FALSE,FALSE,TRUE,TRUE,1,1,3,TRUE,CatD,OwnerOccupied,CatF,TRUE
H0244316,396.7990657,396.7990657,14.16583699,14.16583699,MidTerrace,9,4,FALSE,TRUE,TRUE,TRUE,5,1,3,FALSE,CatA,PrivateRented,CatA,TRUE
H0253202,121.9560931,121.9560931,9.523841005,9.523841005,PurposeBuiltFlatLowRise,9,1,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatA,OwnerOccupied,CatE,TRUE
H0261203,658.9859573,658.9859573,17.21139135,17.21139135,MidTerrace,9,4,TRUE,FALSE,TRUE,TRUE,5,1,3,TRUE,CatB,PrivateRented,CatF,TRUE
H0261404,147.8602528,147.8602528,8.827074274,8.827074274,PurposeBuiltFlatLowRise,9,1,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatA,OwnerOccupied,CatC,TRUE
H0261408,229.5852268,229.5852268,15.36741914,15.36741914,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatA,PrivateRented,CatB,TRUE
H0262411,833.9626263,833.9626263,16.38190521,16.38190521,Detached,9,4,TRUE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatC,PrivateRented,CatB,TRUE
H0263401,595.2334027,595.2334027,11.66443659,11.66443659,Bungalow,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatA,OwnerOccupied,CatD,TRUE
H0263407,386.7554222,386.7554222,8.683126192,8.683126192,PurposeBuiltFlatLowRise,9,1,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatA,OwnerOccupied,CatF,TRUE
H0271107,683.8635706,683.8635706,17.0194459,17.0194459,Detached,9,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatE,RSL,CatF,TRUE
H0271204,516.6304176,516.6304176,9.398430281,9.398430281,PurposeBuiltFlatLowRise,9,2,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatF,OwnerOccupied,CatD,TRUE
H0271206,2323.142293,2323.142293,26.82919727,26.82919727,SemiDetached,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,TRUE,CatA,OwnerOccupied,CatF,TRUE
H0273208,370.6590478,370.6590478,18.49548628,18.49548628,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatB,OwnerOccupied,CatF,TRUE
H0281207,232.7695975,232.7695975,7.842201558,7.842201558,PurposeBuiltFlatLowRise,9,1,TRUE,TRUE,TRUE,TRUE,3,1,3,FALSE,CatA,OwnerOccupied,CatF,TRUE
H0283210,409.8290347,409.8290347,15.39889456,15.39889456,EndTerrace,9,4,FALSE,FALSE,TRUE,TRUE,4,1,3,TRUE,CatB,OwnerOccupied,CatE,TRUE
H0283311,493.1105155,493.1105155,13.36509615,13.36509615,PurposeBuiltFlatLowRise,9,1,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatD,RSL,CatD,TRUE
H0291307,1331.577187,1331.577187,21.90165934,21.90165934,Detached,9,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatB,OwnerOccupied,CatD,TRUE
H0293308,346.2231195,346.2231195,19.56715872,19.56715872,Detached,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatD,OwnerOccupied,CatC,TRUE
H0294214,303.2059189,303.2059189,18.13683669,18.13683669,MidTerrace,9,4,TRUE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatD,OwnerOccupied,CatE,TRUE
H0294307,394.4337559,394.4337559,19.58377026,19.58377026,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatA,OwnerOccupied,CatE,TRUE
H0302212,400.7439446,400.7439446,13.85738388,13.85738388,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatC,OwnerOccupied,CatE,TRUE
H0302304,695.8242311,695.8242311,11.16354285,11.16354285,EndTerrace,9,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatA,OwnerOccupied,CatC,TRUE
H0303103,387.9187602,387.9187602,15.09715402,15.09715402,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatB,OwnerOccupied,CatC,TRUE
H0303406,548.9999932,548.9999932,18.14225242,18.14225242,MidTerrace,9,4,TRUE,FALSE,TRUE,TRUE,1,1,3,TRUE,CatD,OwnerOccupied,CatE,TRUE
H0304214,368.1452872,368.1452872,21.64282234,21.64282234,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatD,OwnerOccupied,CatF,TRUE
H0311110,279.3114165,279.3114165,15.76319759,15.76319759,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatA,PrivateRented,CatB,TRUE
H0314106,2007.61085,2007.61085,30,30,Detached,9,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatD,OwnerOccupied,CatF,TRUE
H0314313,567.8391651,567.8391651,14.21833472,14.21833472,Bungalow,9,4,TRUE,FALSE,TRUE,TRUE,4,1,3,TRUE,CatF,PrivateRented,CatB,TRUE
H0314408,747.5289931,747.5289931,19.48931246,19.48931246,EndTerrace,9,4,TRUE,FALSE,TRUE,TRUE,4,1,3,TRUE,CatA,LocalAuthority,CatD,TRUE
H0321211,380.7689202,380.7689202,15.52209337,15.52209337,MidTerrace,8,4,FALSE,FALSE,TRUE,TRUE,3,1,3,TRUE,CatC,LocalAuthority,CatC,TRUE
H0322201,395.6047458,395.6047458,18.37244466,18.37244466,MidTerrace,8,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatA,OwnerOccupied,CatD,TRUE
H0323407,189.9013831,189.9013831,13.49689775,13.49689775,MidTerrace,8,4,TRUE,TRUE,TRUE,TRUE,5,1,3,FALSE,CatA,RSL,CatF,TRUE
H0332120,216.9725926,216.9725926,12.36234549,12.36234549,PurposeBuiltFlatLowRise,8,1,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatA,OwnerOccupied,CatC,TRUE
H0333309,723.6878507,723.6878507,25.88777756,25.88777756,EndTerrace,8,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatD,PrivateRented,CatB,TRUE
H0333312,376.3281883,376.3281883,6.497353913,6.497353913,PurposeBuiltFlatLowRise,8,1,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatF,PrivateRented,CatB,TRUE
H0334119,915.8445544,915.8445544,19.34150711,19.34150711,MidTerrace,8,4,TRUE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatE,OwnerOccupied,CatC,TRUE
H0341111,195.9670971,195.9670971,9.12024755,9.12024755,PurposeBuiltFlatLowRise,8,3,TRUE,TRUE,TRUE,TRUE,5,1,3,TRUE,CatB,OwnerOccupied,CatF,TRUE
