Pollutant,Dwelling Type,Ventilation Type,"B4 (45, 45, 10)",b3,b2,b1,b0,"B4 (55, 45, 0)",b3,b2,b1,b0,"B4 (21, 33, 8)",b3,b2,b1,b0,"B4 (29, 33, 0)",b3,b2,b1,b0
INPM2_5,House3,NOTE,1.74797688936671E-005,-0.0015153973,0.0518632018,-0.9784346165,16.2566300076,1.3464122148366E-005,-0.0011853134,0.0412536501,-0.7714700005,10.5696461258,1.27972477477947E-005,-0.0011068577,0.0377454604,-0.7111572787,12.0862773803,9.46426094919438E-006,-0.000832888,0.0289395325,-0.5393766475,7.3660807584
INPM2_5,House4,TE,-1.1706220362441E-006,0.000078374,-0.0011149815,-0.0402421641,3.8977529235,-1.90951483560204E-006,0.0001388616,-0.0029915241,-0.0070878407,1.6464146633,-2.50742760371567E-007,1.23312020154198E-005,0.0002540331,-0.0333096539,2.6970382159,-0.000000864,6.25359155829539E-005,-0.0013034972,-0.0057915655,0.8284274599
INPM2_5,House4,E,-0.000005326,0.0004061262,-0.0104093704,0.0678413143,3.7389240842,-6.76847910891462E-006,0.0005334026,-0.0146537838,0.1385800893,1.1991810692,-2.21167463599345E-006,0.0001638921,-0.0039222507,0.0124912266,2.7104031802,-0.000003409,0.0002695316,-0.0074451137,0.0712044098,0.6024164778
INPM2_5,House4,T,-3.68340118500383E-006,0.0002231928,-0.0014015414,-0.2028561226,11.5272719375,-0.000006699,0.0004708232,-0.0091377986,-0.0667562056,6.3423617976,-1.42543627662706E-006,7.38403127138555E-005,0.0007908227,-0.142619621,7.7787696055,-3.9283739495789E-006,0.0002793736,-0.0056302708,-0.0296566899,3.4752941894
INPM2_5,House4,NOTE,-5.27858859181222E-006,0.0004151248,-0.0097556649,-0.0534116751,11.071359981,-1.01845348727341E-005,0.0008452292,-0.0240994567,0.1914074602,5.0556149765,-1.73614254007379E-006,0.0001292394,-0.0021528015,-0.0853304613,7.7252043928,-5.808077953239E-006,0.0004862261,-0.0140581487,0.1178694211,2.7321360391
INPM2_5,House5,TE,1.92150172255938E-006,-0.0001785316,0.0068034966,-0.1530706837,4.0697373795,1.89680901021737E-006,-0.0001762257,0.0067055855,-0.1476537854,2.595498323,0.000001211,-0.0001124049,0.0042736874,-0.0957773693,2.772946324,1.19045759326793E-006,-0.000110491,0.0041924212,-0.0912813437,1.5493279071
INPM2_5,House5,E,3.37974008399081E-006,-0.0003058477,0.0111427581,-0.2288344679,4.8320775032,3.35931926636226E-006,-0.0003036953,0.0110483505,-0.2236941028,3.3488514148,2.08386445772205E-006,-0.0001888705,0.0068857778,-0.1413012358,3.2277297207,2.06691517909019E-006,-0.000187084,0.0068074195,-0.1370347328,1.9966520674
INPM2_5,House5,T,8.46792017027608E-006,-0.0007822998,0.0297308519,-0.6683827373,13.8589404015,8.2592993073555E-006,-0.0007620851,0.0288281022,-0.6309657341,10.5049525239,5.3141162550347E-006,-0.0004902109,0.0185782947,-0.4165792966,8.9976457498,0.000005141,-0.0004734327,0.0178290124,-0.3855231839,6.2138358114
INPM2_5,House5,NOTE,2.16788880901517E-005,-0.0019627194,0.0713368962,-1.4373137616,22.4890427398,2.03494184783425E-005,-0.001855229,0.0679225593,-1.3640064304,18.7929879677,0.000013832,-0.0012489118,0.0452177202,-0.9063608972,14.4165403448,1.27285300923273E-005,-0.0011596948,0.0423838206,-0.8455158122,11.348814884
INPM2_5,House6,TE,3.34713974992627E-007,-6.5262671333078E-005,0.0041368083,-0.134802674,4.463986072,6.62208543533296E-007,-8.41814972646486E-005,0.0042551434,-0.1163066654,2.1409328616,1.84400158858134E-007,-3.97326115627452E-005,0.0025772997,-0.0835234676,3.0181628656,4.56220650746694E-007,-5.54352370859358E-005,0.0026755179,-0.0681717805,1.090028701
